reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
133c8b2e-e8c1-48ff-ac05-0208c96d12c3,Lloyd Lian,https://play-lh.googleusercontent.com/a/AEdFTp4r4AYx_E0VraPS-ZmSz5KiHTplD2OzXjnaZ0GQ=mo,"I really want to play the game. But the control is utterly awful to a degree it is just unplayable. it never allows me to inspect anything I tap on. On third day, I need to leave the room by tap on the door. But I simply cannot do this because wherever I tap on the game just ignore my tap position and assign it to some random position. A waste of money!",1,2,1.0.3,2022-09-23 13:38:04,,,newest,jp.co.spike_chunsoft.DR1
092311a0-9c51-4aec-adc4-c20b16bfedee,Gabby v s,https://play-lh.googleusercontent.com/a-/AD5-WClJYQXriGwVsNTNU_-gUGUxzxhtmEYmBGRuty6Slg,This game was amazing till I got to the point where the summary climax in the class trials had evidence for the last class trial and not the class trial evidence I need for the current class trial to summarize it has information I don't need anymore and information I need but don't have.,1,4,1.0.3,2022-07-31 13:54:11,,,newest,jp.co.spike_chunsoft.DR1
4c2b7ce8-f0e1-4740-a996-3b2010e5181e,Andrej Zivojinovic (Extraordinare),https://play-lh.googleusercontent.com/a/AEdFTp5wbQPpu2ygUSBcDUyejNHg8n3xwhRhEsUoM_sS=mo,Will not even start. All I see is Spike Chunsoft and that's it. UPDATE: tried reinstalling it. Didn't do anything.,1,10,1.0.3,2022-07-27 16:42:51,,,newest,jp.co.spike_chunsoft.DR1
b21bcdf9-53ac-48f3-820c-877ae93bfb99,Eri Chan,https://play-lh.googleusercontent.com/a-/AD5-WCnKsLeZtgvNri_AdzNk1IXJ3vnJaZR3Khf35rCY,"Currently I haven't gotten to play the game since everytime I have tried to open the game it doesn't let me play, it just throws me out of the game. It's probably a very good game but I'd very much like to atleast play it.",1,0,,2022-06-20 00:15:33,,,newest,jp.co.spike_chunsoft.DR1
9b6d66ae-223c-4974-987e-821389d06ed4,izuku midoriya,https://play-lh.googleusercontent.com/a-/AD5-WCmeSyWMVKWAtaqjGgaWHRvvm0_v40YRoILeWeUVNQ,I can't even open the app. Trifling.,1,0,1.0.2,2022-03-05 05:39:32,,,newest,jp.co.spike_chunsoft.DR1
16725ca2-436c-42ed-8d44-a05d1b76db65,Blair Sabre,https://play-lh.googleusercontent.com/a-/AD5-WCn766j7Z0giGI54E4zx2YxT6oqeTYf6Nqx0IcdUqA,"It hurts for me to leave a harsh review because I love this game, but I bought this game right before it came out on switch and I would rather have it on there. So I bought it on switch and requested a refund for the mobile game thinking that I would've gotten my refund. I was denied my refund and told to contact the developers. I told the developers everything and showed proof of purchase and expressed that I dont have enough money to be wasting $17 like this, but was not given a refund.",1,13,,2021-12-08 13:18:24,,,newest,jp.co.spike_chunsoft.DR1
216d6a23-ce63-4308-8d45-89c11c7de6a1,Alexander Hamm,https://play-lh.googleusercontent.com/a/AEdFTp5MEWEMmhryP1tP2cC3vhswPmQ3a9NdR7-vtPXB=mo,The Bullet Time Battle runs like absolute garbage on my phone. I can't proceed,1,1,1.0.2,2021-09-20 02:32:58,,,newest,jp.co.spike_chunsoft.DR1
7b01836f-d7b6-4e8a-ab70-fad1f7986b1f,Luke Anderson,https://play-lh.googleusercontent.com/a/AEdFTp41yq2EWNvm7S6v2X44SrKnolJqK9xheVgHmH9e=mo,"Not worth the money.Wont even load as when the logo pops up it resorts to a black screen and kicks you out,uninstalling,resetting phone,nothing works and just disapointed a bug this bad is in a 16$ game.Essentially,pay to have an error pop up constantly.",1,9,1.0.2,2021-08-28 14:38:02,,,newest,jp.co.spike_chunsoft.DR1
f54c46db-36a7-4459-9b21-772f18e70704,em0_k13d,https://play-lh.googleusercontent.com/a-/AD5-WCk2_JILNo5tzE4i7CYVDyQ1zySUw7kww9Bpy8DX2Q,I got scammed my dog passed away as well,1,2,,2021-08-17 08:26:53,,,newest,jp.co.spike_chunsoft.DR1
dcb6a164-4fce-44e5-93c7-fc7e74be40ca,Kai,https://play-lh.googleusercontent.com/a-/AD5-WCmM0KzGrUbPgy6K8g9gCd3CHNBA4hrFjaQ6gmmkXQ,"It won't even load the game when the loading screen comes on it turns black and logs me out, no matter how much i reset my phone or power it off it still doesn't work.",1,7,1.0.2,2021-07-22 05:07:38,,,newest,jp.co.spike_chunsoft.DR1
